id,article,lo,brand,kirana_group,brand1,variant,product,item,size,size1,volume,uom_type,uom,description,price,long_description,qa_data_uploaded,qa_uploaded_error
4571,491076056,Juice,,,Mogu Mogu,Lychee, Juice,Mogu Mogu Lychee Juice,1 Ltr ,Ltr,1,ltr,Bottle,Mogu Mogu Lychee Juice 1 Lt,145,"The Mogu Mogu Lychee Juice delivers a fragrant blend of various fruits that's absolutely delicious. With an ultra-tropical flavour of Lychee, Orange, Strawberry, Pineapple, Mango and Grapes, this juice makes for a perfect morning beverage. A hint of nata de coco is coupled with 25 percent of lychee juice for a truly wonderful blend you're sure to love!",0,image not found
4633,491056513,,,,Auto Printed Poly,Auto Printed Poly,Umbrella,Umbrella Auto Printed Poly,21 X 8,Pack,21 X 8,packs,pack,Umbrella Auto Printed Poly 21 X 8,145,Umbrella Auto Printed Poly is 'Auto' opening with a large black electroplated frame and shaft. ,0,"Error occurred during ""weight"" processing. Invalid type for value: ""21 X 8"". Expected Type: ""float""."
4643,490803038,,,,Bru, Lite Poly,Instant Coffee ,Bru Lite Poly Instant Coffee ,25 gm,gm,25,gm,Pack,Bru Lite Poly Instant Coffee 25 gm,45,"Start your mornings with a cup of joy with Bru Instant Coffee. Prepared with Robusta beans, this instant coffee mix includes a hint of chicory to enhance its delicious, rich coffee flavour. The advanced processing technique preserves the fresh coffee aroma for a great coffee experience. This coffee mix allows you to enjoy hot, refreshing coffee instantly.",0,image not found
4644,490803039,,,,Bru, Lite Poly,Instant Coffee ,Bru Lite Poly Instant Coffee,50 gm,gm,50,gm,Pack,Bru Lite Poly Instant Coffee 50 gm,75,"Start your mornings with a cup of joy with Bru Instant Coffee. Prepared with Robusta beans, this instant coffee mix includes a hint of chicory to enhance its delicious, rich coffee flavour. The advanced processing technique preserves the fresh coffee aroma for a great coffee experience. This coffee mix allows you to enjoy hot, refreshing coffee instantly.",0,image not found
4645,490803041,,,,Perrier , Sparkling,Water,Perrier Sparkling Water,330 ml,ml,330,ml,Bottle,Perrier Sparkling Water 330 ml,90,"Perrier is a natural sparkling mineral water that is well known throughout the world. Famous for its elegantly-shaped green bottle, Perrier is the ultimate refreshment to quench all thirsts.",0,image not found
4646,490803947,,,,Kinh do AFC, Orange Calcium Wheat,Cracker ,Kinh do AFC Orange Calcium Wheat Cracker ,600 gm,gm,600,gm,Pack,Kinh do AFC Orange Calcium Wheat Cracker 600 gm,265,"Kinh do AFC Orange Calcium Wheat Cracker is Delicious and full of nutrition.  Only the most delicious  fine wheat flour is used to make biscuits. Contains glucose, calcium, low sodium and contains vitamin D which helps in the proper absorption of calcium.",0,image not found
4647,490803973,,,,Go Cheese,Creamy Tomato,Cheese ,Go Cheesoz Creamy Tomato Salsa Cheese ,100 gm,gm,100,gm,Pack,Go Cheesoz Creamy Tomato Salsa Cheese 100 gm,55,"GO Cheezos are creamy tomato Salsa , full of flavour and made from blends of cheddar cheese. Packed in an easy to use squeeze tube, it’s extremely convenient to use ",0,image not found
4648,490804215,Juice,,,Kokozo,Grape,Juice ,Kokozo Grape Juice ,320 ml,ml,320,ml,Bottle,Kokozo Grape Juice 320 ml,44,Savour this delicious Grape Juice from the house of Kokozo. People who are health and diet conscious are sure to love this juice as it is gluten-free and lactose-free. Stay healthy and fit by drinking this grape juice from Kokozo. ,0,image not found
4649,490762555,,,,Marwari,Chana Lahsun ,Papad,Marwari Chana Lahsun Papad,200 gm,gm,200,gm,Pack,Marwari Chana Lahsun Papad 200 gm,38,"Marwari chana lahsun papad is vegetarian and made of moong flour, udad flour, black pepper, salt, groundnut oil, papad khar, sajji, asafoetida, soda.",0,image not found
4650,490935350,,,,Chitale,Shankarpali ,Shankarpali ,Chitale Shankarpali ,200 gm,gm,200,gm,Pack,Chitale Shankarpali 200 gm,36,"Chitale Shankarpali is a popular Maharashtrian sweet made from a dough of milk, sugar, ghee, maida, semolina and salt. ",0,image not found
